"","year","month","day","n"
"1",2013,6,27,4
"2",2013,6,28,15
"3",2013,6,29,54
"4",2013,6,30,118
"5",2013,7,1,75
"6",2013,7,2,32
"7",2013,7,3,38
"8",2013,7,4,220
"9",2013,7,5,15
"10",2013,7,6,2
"11",2013,7,7,81
"12",2013,7,8,68
"13",2013,7,9,51
"14",2013,7,10,91
"15",2013,7,11,146
"16",2013,7,12,164
"17",2013,7,13,203
"18",2013,7,14,248
"19",2013,7,15,96
"20",2013,7,16,62
"21",2013,7,17,51
"22",2013,7,18,57
"23",2013,7,19,52
"24",2013,7,20,234
"25",2013,7,21,224
"26",2013,7,22,141
"27",2013,7,23,111
"28",2013,7,24,116
"29",2013,7,25,95
"30",2013,7,26,61
"31",2013,7,27,199
"32",2013,7,28,159
"33",2013,7,29,112
"34",2013,7,30,58
"35",2013,7,31,40
"36",2013,8,1,115
"37",2013,8,2,41
"38",2013,8,3,279
"39",2013,8,4,300
"40",2013,8,5,104
"41",2013,8,6,120
"42",2013,8,7,128
"43",2013,8,8,128
"44",2013,8,9,137
"45",2013,8,10,285
"46",2013,8,11,215
"47",2013,8,12,20
"48",2013,8,13,142
"49",2013,8,14,164
"50",2013,8,15,168
"51",2013,8,16,175
"52",2013,8,17,316
"53",2013,8,18,247
"54",2013,8,19,152
"55",2013,8,20,180
"56",2013,8,21,100
"57",2013,8,22,45
"58",2013,8,23,178
"59",2013,8,24,350
"60",2013,8,25,229
"61",2013,8,26,123
"62",2013,8,27,88
"63",2013,8,28,104
"64",2013,8,29,84
"65",2013,8,30,93
"66",2013,8,31,161
"67",2013,9,1,299
"68",2013,9,2,357
"69",2013,9,3,136
"70",2013,9,4,98
"71",2013,9,5,102
"72",2013,9,6,163
"73",2013,9,7,230
"74",2013,9,8,166
"75",2013,9,9,59
"76",2013,9,10,111
"77",2013,9,11,79
"78",2013,9,12,90
"79",2013,9,13,81
"80",2013,9,14,109
"81",2013,9,15,23
"82",2013,9,16,67
"83",2013,9,17,75
"84",2013,9,18,53
"85",2013,9,19,47
"86",2013,9,20,70
"87",2013,9,21,215
"88",2013,9,22,144
"89",2013,9,23,86
"90",2013,9,24,65
"91",2013,9,25,69
"92",2013,9,26,81
"93",2013,9,27,103
"94",2013,9,28,199
"95",2013,9,29,253
"96",2013,9,30,108
"97",2013,10,1,71
"98",2013,10,2,94
"99",2013,10,3,33
"100",2013,10,4,108
"101",2013,10,5,132
"102",2013,10,6,142
"103",2013,10,7,78
"104",2013,10,8,69
"105",2013,10,9,90
"106",2013,10,10,120
"107",2013,10,11,151
"108",2013,10,12,268
"109",2013,10,13,249
"110",2013,10,14,158
"111",2013,10,15,41
"112",2013,10,16,23
"113",2013,10,17,15
"114",2013,10,18,46
"115",2013,10,19,85
"116",2013,10,20,109
"117",2013,10,21,37
"118",2013,10,22,9
"119",2013,10,23,11
"120",2013,10,24,33
"121",2013,10,25,48
"122",2013,10,26,96
"123",2013,10,27,99
"124",2013,10,28,39
"125",2013,10,29,40
"126",2013,10,30,26
"127",2013,10,31,2
"128",2013,11,1,22
"129",2013,11,2,72
"130",2013,11,3,87
"131",2013,11,4,17
"132",2013,11,5,23
"133",2013,11,6,5
"134",2013,11,7,18
"135",2013,11,8,31
"136",2013,11,9,154
"137",2013,11,10,98
"138",2013,11,11,5
"139",2013,11,12,9
"140",2013,11,13,12
"141",2013,11,14,13
"142",2013,11,15,33
"143",2013,11,16,23
"144",2013,11,17,19
"145",2013,11,18,19
"146",2013,11,19,14
"147",2013,11,20,2
"148",2013,11,21,5
"149",2013,11,22,13
"150",2013,11,23,9
"151",2013,11,24,7
"152",2013,11,25,5
"153",2013,11,26,10
"154",2013,11,27,2
"155",2013,11,28,14
"156",2013,11,29,11
"157",2013,11,30,54
"158",2013,12,1,6
"159",2013,12,2,12
"160",2013,12,3,19
"161",2013,12,4,15
"162",2013,12,5,7
"163",2013,12,6,2
"164",2013,12,7,4
"165",2013,12,9,1
"166",2013,12,11,2
"167",2013,12,12,2
"168",2013,12,15,1
"169",2013,12,17,2
"170",2013,12,18,5
"171",2013,12,20,1
"172",2013,12,22,1
"173",2013,12,23,5
"174",2013,12,24,1
"175",2013,12,26,3
"176",2013,12,27,10
"177",2013,12,28,37
"178",2013,12,29,7
"179",2014,1,9,1
"180",2014,1,10,2
"181",2014,1,11,6
"182",2014,1,12,4
"183",2014,1,13,9
"184",2014,1,14,1
"185",2014,1,16,3
"186",2014,1,19,4
"187",2014,1,20,1
"188",2014,1,25,4
"189",2014,1,30,1
"190",2014,1,31,1
"191",2014,2,1,1
"192",2014,2,3,2
"193",2014,2,9,7
"194",2014,2,11,4
"195",2014,2,12,3
