"","year","month","day","n"
"1",2013,6,27,1
"2",2013,6,28,20
"3",2013,6,29,62
"4",2013,6,30,120
"5",2013,7,1,76
"6",2013,7,2,34
"7",2013,7,3,34
"8",2013,7,4,219
"9",2013,7,5,28
"10",2013,7,6,55
"11",2013,7,7,85
"12",2013,7,8,60
"13",2013,7,9,50
"14",2013,7,10,86
"15",2013,7,11,147
"16",2013,7,12,167
"17",2013,7,13,192
"18",2013,7,14,233
"19",2013,7,15,98
"20",2013,7,16,64
"21",2013,7,17,50
"22",2013,7,18,53
"23",2013,7,19,61
"24",2013,7,20,229
"25",2013,7,21,236
"26",2013,7,22,131
"27",2013,7,23,101
"28",2013,7,24,112
"29",2013,7,25,89
"30",2013,7,26,57
"31",2013,7,27,194
"32",2013,7,28,157
"33",2013,7,29,111
"34",2013,7,30,55
"35",2013,7,31,36
"36",2013,8,1,110
"37",2013,8,2,26
"38",2013,8,3,315
"39",2013,8,4,313
"40",2013,8,5,106
"41",2013,8,6,111
"42",2013,8,7,113
"43",2013,8,8,121
"44",2013,8,9,138
"45",2013,8,10,297
"46",2013,8,11,226
"47",2013,8,12,33
"48",2013,8,13,145
"49",2013,8,14,156
"50",2013,8,15,172
"51",2013,8,16,174
"52",2013,8,17,315
"53",2013,8,18,250
"54",2013,8,19,139
"55",2013,8,20,176
"56",2013,8,21,114
"57",2013,8,22,50
"58",2013,8,23,170
"59",2013,8,24,342
"60",2013,8,25,226
"61",2013,8,26,116
"62",2013,8,27,89
"63",2013,8,28,101
"64",2013,8,29,81
"65",2013,8,30,76
"66",2013,8,31,177
"67",2013,9,1,343
"68",2013,9,2,367
"69",2013,9,3,125
"70",2013,9,4,92
"71",2013,9,5,109
"72",2013,9,6,146
"73",2013,9,7,214
"74",2013,9,8,138
"75",2013,9,9,56
"76",2013,9,10,99
"77",2013,9,11,69
"78",2013,9,12,83
"79",2013,9,13,86
"80",2013,9,14,126
"81",2013,9,15,16
"82",2013,9,16,68
"83",2013,9,17,70
"84",2013,9,18,44
"85",2013,9,19,43
"86",2013,9,20,63
"87",2013,9,21,222
"88",2013,9,22,156
"89",2013,9,23,88
"90",2013,9,24,66
"91",2013,9,25,66
"92",2013,9,26,77
"93",2013,9,27,111
"94",2013,9,28,190
"95",2013,9,29,253
"96",2013,9,30,110
"97",2013,10,1,64
"98",2013,10,2,92
"99",2013,10,3,25
"100",2013,10,4,104
"101",2013,10,5,145
"102",2013,10,6,142
"103",2013,10,7,74
"104",2013,10,8,65
"105",2013,10,9,84
"106",2013,10,10,113
"107",2013,10,11,148
"108",2013,10,12,274
"109",2013,10,13,237
"110",2013,10,14,141
"111",2013,10,15,30
"112",2013,10,16,17
"113",2013,10,17,16
"114",2013,10,18,40
"115",2013,10,19,85
"116",2013,10,20,113
"117",2013,10,21,29
"118",2013,10,22,10
"119",2013,10,23,14
"120",2013,10,24,24
"121",2013,10,25,43
"122",2013,10,26,87
"123",2013,10,27,99
"124",2013,10,28,38
"125",2013,10,29,34
"126",2013,10,30,20
"127",2013,10,31,2
"128",2013,11,1,21
"129",2013,11,2,63
"130",2013,11,3,92
"131",2013,11,4,16
"132",2013,11,5,14
"133",2013,11,6,6
"134",2013,11,7,14
"135",2013,11,8,26
"136",2013,11,9,151
"137",2013,11,10,83
"138",2013,11,11,7
"139",2013,11,12,12
"140",2013,11,13,12
"141",2013,11,14,10
"142",2013,11,15,33
"143",2013,11,16,24
"144",2013,11,17,13
"145",2013,11,18,16
"146",2013,11,19,13
"147",2013,11,20,2
"148",2013,11,21,9
"149",2013,11,22,11
"150",2013,11,23,4
"151",2013,11,24,8
"152",2013,11,25,6
"153",2013,11,26,11
"154",2013,11,27,1
"155",2013,11,28,13
"156",2013,11,29,5
"157",2013,11,30,41
"158",2013,12,1,6
"159",2013,12,2,11
"160",2013,12,3,20
"161",2013,12,4,13
"162",2013,12,5,9
"163",2013,12,6,2
"164",2013,12,7,3
"165",2013,12,9,1
"166",2013,12,10,1
"167",2013,12,11,1
"168",2013,12,12,1
"169",2013,12,17,4
"170",2013,12,18,6
"171",2013,12,19,3
"172",2013,12,21,2
"173",2013,12,22,1
"174",2013,12,23,3
"175",2013,12,26,2
"176",2013,12,27,5
"177",2013,12,28,40
"178",2014,1,10,1
"179",2014,1,11,6
"180",2014,1,12,5
"181",2014,1,13,9
"182",2014,1,16,5
"183",2014,1,17,1
"184",2014,1,19,5
"185",2014,1,20,1
"186",2014,1,23,1
"187",2014,1,25,4
"188",2014,1,30,2
"189",2014,1,31,1
"190",2014,2,3,2
"191",2014,2,9,4
"192",2014,2,12,2
"193",2014,2,13,1
"194",2014,2,14,2
"195",2014,2,15,2
"196",2014,2,16,2
"197",2014,2,18,3
"198",2014,2,19,7
"199",2014,2,21,1
"200",2014,2,22,2
"201",2014,2,23,3
"202",2014,2,24,2
"203",2014,2,28,3
"204",2014,3,1,1
"205",2014,3,7,15
"206",2014,3,9,6
"207",2014,3,10,34
"208",2014,3,11,19
"209",2014,3,13,1
"210",2014,3,14,60
"211",2014,3,15,25
"212",2014,3,16,3
"213",2014,3,17,4
"214",2014,3,18,16
"215",2014,3,19,2
"216",2014,3,20,10
"217",2014,3,21,52
"218",2014,3,22,36
"219",2014,3,23,8
"220",2014,3,24,5
"221",2014,3,25,4
"222",2014,3,26,4
"223",2014,3,27,7
"224",2014,3,28,10
"225",2014,3,29,21
"226",2014,3,30,143
"227",2014,3,31,77
"228",2014,4,1,23
"229",2014,4,2,10
"230",2014,4,3,1
"231",2014,4,4,3
"232",2014,4,5,84
"233",2014,4,6,111
"234",2014,4,7,30
"235",2014,4,8,40
"236",2014,4,9,73
"237",2014,4,10,48
"238",2014,4,11,269
"239",2014,4,12,322
"240",2014,4,13,77
"241",2014,4,14,5
"242",2014,4,15,1
"243",2014,4,16,22
"244",2014,4,17,130
"245",2014,4,18,84
"246",2014,4,19,234
"247",2014,4,20,350
"248",2014,4,21,100
"249",2014,4,22,54
"250",2014,4,23,49
"251",2014,4,24,36
"252",2014,4,25,157
"253",2014,4,26,168
"254",2014,4,27,54
"255",2014,4,28,10
"256",2014,4,29,46
"257",2014,4,30,17
"258",2014,5,1,7
"259",2014,5,2,44
"260",2014,5,3,327
"261",2014,5,4,128
"262",2014,5,5,61
"263",2014,5,6,81
"264",2014,5,7,84
"265",2014,5,8,197
"266",2014,5,9,74
"267",2014,5,10,415
"268",2014,5,11,275
"269",2014,5,12,140
"270",2014,5,13,52
"271",2014,5,14,69
"272",2014,5,15,35
"273",2014,5,16,17
"274",2014,5,17,206
"275",2014,5,18,350
"276",2014,5,19,162
"277",2014,5,20,224
"278",2014,5,21,267
"279",2014,5,22,159
"280",2014,5,23,207
"281",2014,5,24,370
"282",2014,5,25,461
"283",2014,5,26,323
"284",2014,5,27,141
"285",2014,5,28,94
"286",2014,5,29,228
"287",2014,5,30,252
"288",2014,5,31,398
"289",2014,6,1,359
"290",2014,6,2,152
"291",2014,6,3,283
"292",2014,6,4,35
"293",2014,6,5,214
"294",2014,6,6,346
"295",2014,6,7,392
"296",2014,6,8,236
"297",2014,6,9,204
"298",2014,6,10,24
"299",2014,6,11,80
"300",2014,6,12,129
"301",2014,6,13,180
"302",2014,6,14,529
"303",2014,6,15,401
"304",2014,6,16,269
"305",2014,6,17,172
"306",2014,6,18,113
"307",2014,6,19,153
"308",2014,6,20,208
"309",2014,6,21,325
"310",2014,6,22,458
"311",2014,6,23,157
"312",2014,6,24,129
"313",2014,6,25,178
"314",2014,6,26,216
"315",2014,6,27,326
"316",2014,6,28,386
"317",2014,6,29,463
"318",2014,6,30,72
"319",2014,7,1,229
"320",2014,7,2,121
"321",2014,7,3,180
"322",2014,7,4,506
"323",2014,7,5,510
"324",2014,7,6,417
"325",2014,7,7,314
"326",2014,7,8,186
"327",2014,7,9,247
"328",2014,7,10,379
"329",2014,7,11,336
"330",2014,7,12,233
"331",2014,7,13,480
"332",2014,7,14,182
"333",2014,7,15,178
"334",2014,7,16,280
"335",2014,7,17,241
"336",2014,7,18,227
"337",2014,7,19,532
"338",2014,7,20,385
"339",2014,7,21,216
"340",2014,7,22,174
"341",2014,7,23,88
"342",2014,7,24,225
"343",2014,7,25,219
"344",2014,7,26,368
"345",2014,7,27,446
"346",2014,7,28,258
"347",2014,7,29,206
"348",2014,7,30,202
"349",2014,7,31,307
"350",2014,8,1,306
"351",2014,8,2,559
"352",2014,8,3,399
"353",2014,8,4,253
"354",2014,8,5,234
"355",2014,8,6,300
"356",2014,8,7,238
"357",2014,8,8,288
"358",2014,8,9,448
